reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEV727iQ2tWvxT6ip-RsfGrwNL0Z_5droJ1vEuGOTsJlaQzNXxrMOM5braEX0K2T4BHZpLu46x_hLTcag,Lucas Okie,https://play-lh.googleusercontent.com/a-/AOh14Gj_S8_Js0qPVrJ3iFFXVQOk2EL-2ZptS4hODUU2kg,Most accurate maps direction app ever.,5,0,4.75.0.3,2021-07-07 18:59:29,,
gp:AOqpTOG13v43qeAR1YAqOUj-OL96Bm_BuHoZ3a0OQTyRFdjObnZ3ab4LJYV4qe2j_kLXAW4gWprOfSGTSO1wdg,Hamim Bhuiyan,https://play-lh.googleusercontent.com/a-/AOh14GjLiIYqDs35Sz8OOBeLJTRorRILBx3kvjeLQoqZRw,"yesterday suddenly this apps stopped while I'm using on the road! still now I can't use this, I also don't know why, 2/3 times already reinstalled this, and try to log in! but this apps stopped within 2/3 seconds! Can I know? now what can I do?",1,0,4.57.2.0,2021-06-23 06:23:16,"Hi Hamim, thanks for contacting us. We'd like to hear more about this issue to investigate further. Could you please send us a private message on Facebook? Thanks. For further assistance please contact us here: https://m.me/waze",2021-06-23 17:56:42
gp:AOqpTOE4YSxa9TYa6An6B5-lBU22VxbAdE5zlMcB3GUqyWdP1bRxaUnLk_evMPirrkLdgOwsvUaseB2Dfo0_VA,Laura Cartersville,https://play-lh.googleusercontent.com/a/AATXAJyRDgAdfyFFbMNZQZl6eSOjOLnvJdp9lmh_HWb1=mo,Great but STOP WITH THE POP UP ADS! Seriously though its so annoying when im trying to get somewhere and I get a frickin ad!!! When did yall start this stuff?? STOP PLEASE!!!!!,2,0,,2021-08-25 18:35:42,,
gp:AOqpTOH2PjCJ8qMAQg4ydYg47Wi0XTh9ff_sHQqUL8xWmk0QvbE9fQruRLw2speU5cmH_B5bplBomZvkfy_21A,Nazri Masrom,https://play-lh.googleusercontent.com/a-/AOh14GhJxJ02FNCVn-vRWodv7FM8bTz3HniZdj_2Kl5zVw,GUI is terrible after update.,1,0,4.73.0.3,2021-05-16 00:39:43,,
gp:AOqpTOFFxa4ig_RpqJbDa1qgWLbU401puznwYUE72p5uV1lpIgRCo0it1NQjGLYQ9xYG1oAzLSzQDWmKOXMwow,Phill Bozz,https://play-lh.googleusercontent.com/a/AATXAJxmSzBCyPXY3cuIUyvAOjQ-PYSlW5a0XGIYd0I8=mo,Current version has too much advertising,3,1,4.74.0.3,2021-06-15 01:32:26,,
gp:AOqpTOEK7FFeA2B_7Gk9e-rbQPDTWcDOSumKy99B7n7aTVFNFZnjBEPTq0i_re7WD5YErG_dhzbkcZ9oGZGd7g,Al Rodrgz,https://play-lh.googleusercontent.com/a/AATXAJwDJKaIFtBYEETPmbzrTjESrWAS7X20rz7z889Z=mo,Best GPS mapping app very reliable,5,22,4.74.0.3,2021-06-01 09:32:19,,
gp:AOqpTOGnPevqgrba8O_-3s5OkyQp6cIf681ir66u_KFSaWhhCTCNdBOvLyTuLbC50ZAK2V90B0efdrbw1AHBng,Gary A.,https://play-lh.googleusercontent.com/a/AATXAJzFH_rQEVRZVr4tCEutI8J4RP95_NRwXhViOnb9=mo,"I've been using WAZE for a few years now and it has been a pretty solid and reliable navigation app to use. Like anything and everything it's not perfect, but it's free, it's ad free and has a great UI that's easy to use. The maps are good and for the most part, the routes worked out for you are quick and painless. The only reason I didn't give it 5 stars is due to its tendency to, at times, just stop working in middle of a route and leave you hanging. But that can happen with any GPS app.",4,3,4.68.2.0,2021-06-06 17:25:31,,
gp:AOqpTOG8h3rkSUDbAro9c6nk86HY2pI8zVYTKxP_6h8Co6EQhbdrkOQY9jgz_5KwiYjJrgIZKIK1K8iHQvmYuQ,Melissa Bush,https://play-lh.googleusercontent.com/a-/AOh14Gj5YVtZafJh1WWBTP04MkInhX7RLZb6TV7VPZ2hmw,"The only thing I wish I could do is when I report an accident or police or hazard, that I could press on the map the exact location because by the time I report seeing the police officer or a hazard I'm already past it.",3,0,,2021-09-07 23:54:23,"
Thanks for your feedback! We're always looking for ways to improve our product. If you'd like to share more about your Waze experience or have feature requests you'd like to submit to us, feel free to reach out to us through a private message on Facebook.

For further assistance please contact us here: https://m.me/waze",2021-09-08 14:56:24
gp:AOqpTOFRtODZgntkRi9ATBAKigK2_cVy7QZDy9FfoAo1Tqg80IQaM6Vw01U0umiydGFctlJML0pjBdS2-uju1A,OMAR ABOU CHAHIN,https://play-lh.googleusercontent.com/a/AATXAJz5qsFX-4P1jKiNd-KtzfLeNF5v5HHsi_4KJxWW=mo,The Best Map Experience .. Love it 🥰,5,0,4.75.0.3,2021-07-19 05:53:52,,
gp:AOqpTOHPhI3UhCJa4aCThwUIylZmeIiFKUoQup99jka1DfS4PbeZe-jJhRm3NnWgxHwLDnILZuL4M_-I1d13LA,Energetic Alchemist,https://play-lh.googleusercontent.com/a-/AOh14GirsKou7LGIpgi1Rgiz6kP43d7gQmM2gcfxe_Uz3Q,"Great app, no issues !",5,0,4.74.0.3,2021-06-19 05:53:31,,
gp:AOqpTOEQNHDs9B8m2lbBFGH5nqPgetIH42rfriBOvY1-sPG0C1pCYLecqjs1-Q7e-LMktuYPf8p2Y0Bpd_sjFg,Asikin Zakaria,https://play-lh.googleusercontent.com/a/AATXAJxTnMFbuELGSI_Qp5--kCqx1Me5DKmN_Cf-40Un=mo,"Slow update, lead to longer route",1,0,4.73.0.3,2021-05-17 11:28:07,,
gp:AOqpTOHR-PRPBCnqbc-BTdv2TbjNgccUTdb_rVb4B2Yyz3zTzcJYWTVI-duXLj53Wc_8eYcTwo55RePGNbwc-w,Sean McConville,https://play-lh.googleusercontent.com/a-/AOh14GiOV-Gdthf0dpxDhWcoX0obG6eMcbq-fIRh_G24aA,Great app and easy to use.,5,0,4.74.0.3,2021-05-23 19:26:57,,
gp:AOqpTOGnHNthB1z9XtVuUzMxyf1r2FRz2DY_mMt8SxrQOP1p9Q8oHUPbkFuzhEkErZbn15zKi9gd0cE18PhIRQ,Linda Cartmel,https://play-lh.googleusercontent.com/a/AATXAJwa-RRoVYmH58lWiE5heQQlxmJY0WqHaHBPLp7b=mo,"The June 2021 update is horrible, it lead us off I-75 on two incidents to small country town only to lead us BACK to I75. We lost 30 minutes one town and the second we skipped knowing it was the stupid glitch!!! Waze was working excellent until this update!",2,1,,2021-07-09 20:41:10,"Hey there, Linda! If you're experiencing issues with routing, we're happy to help you with that. Would you mind submitting more information about this issue here: https://support.google.com/waze/answer/6270994?hl=en

For further assistance please contact us here: https://m.me/waze
",2021-07-14 19:47:06
gp:AOqpTOEUmWsvzKKhmWqMbR1mVkCdhAQv_JiA8f3okW9zurlyOyrYMxsH71MJHn1UJr7J5-wufkS-mK0kaJoJUA,menderes yesilova,https://play-lh.googleusercontent.com/a/AATXAJwYJYwhMdty1VJs64NmyrvfaYaVAWQLpvMUk-AU=mo,Easy to use very useful when you need it.,5,0,4.73.0.3,2021-04-13 05:37:38,,
gp:AOqpTOH6Bvs6xykVctXNoFOAMaQPnlk5ygoaM3QirzRRaA3no_stBKFLt0Cx1beLgFUlxoYJmYDst7OnpBgipw,Ermina Tsounis,https://play-lh.googleusercontent.com/a-/AOh14GiGHI2rFqtll33WZLzruBiAUYb4URslc2m0OjiQfg,Love it. User friendly thank you!!!,5,0,4.75.0.3,2021-07-29 21:35:14,,
gp:AOqpTOFfLAazK23NeQQKQb-uA7eJFntZv8OGUaP4dNlpSs0EeohbEjljfLV2LSmLy8V7_KBdgSifsUTrQt-G8w,Dennis Del Donno,https://play-lh.googleusercontent.com/a-/AOh14GhzQWGjm6XNgcU7KA6Uk0jw7XNhPVch7k9X6yS2AQ,Love Waze..use it exclusively!,5,0,4.74.0.3,2021-06-06 20:51:20,,
gp:AOqpTOGHYA0aS_tE7FWPoBjyh1LCEEK0obgsmLoTcxA4stcWkBecKVDI-oOqkt8J3qOIUCLB-y8ap0U4s7m6Lw,AL Lughah,https://play-lh.googleusercontent.com/a/AATXAJyFnt6OxvRh6y7wd92Mjng7cvnSxlhCdWB0Y6RG=mo,Horrible apps constantly crash.,1,0,4.73.0.3,2021-05-16 06:49:04,,
gp:AOqpTOFjwFws3aNHQnRPPg0Nj-blqfmfhvQu9uMG1G1CJXoz69Nyt2lOdO5R_733D1k9bhIWzfcHbMsbs5_SJQ,John Patrick,https://play-lh.googleusercontent.com/a/AATXAJw3JAoDBWOSyYHYhPz5fMVM6rWInz6pG5Ih_bMsplc=mo,Wont let you post many incidents now. Emailed me but not sorted prob out.,1,1,4.76.5.0,2021-08-07 19:06:02,"Thanks for your feedback, John. We're always looking for ways to improve our product. If you'd like to share more about your Waze experience or need assistance resolving an issue that may be occurring, feel free to reach out to us through a private message on Facebook.

For further assistance please contact us here: https://m.me/waze",2021-07-02 18:22:10
gp:AOqpTOGTtlrlF8dIM16elym6BD-x4Z7aT9eFEdNKKMxUdw_FPqP3ZZhzrvQselvic0TbNSEFX8WsuSTf7pyvsg,Hennie Nortjè,https://play-lh.googleusercontent.com/a/AATXAJxBMkAO1my_h_uLgig3a_OqryzpPWZ0t_asYJ3X=mo,Excellent experience using an up to date app...,5,0,4.74.0.3,2021-06-21 18:11:32,,
gp:AOqpTOG21QjOttspUk0sRXd2V3YOi-twiHnlyX9JOKLSIJloiuYPRlhAoDHwPbbxmdT8AOAJn2NXIJKjOwknGQ,Chris Ball,https://play-lh.googleusercontent.com/a/AATXAJwJjx2otG9UoZo302t8gAW587a6sP2DzpNLqYAx=mo,"Ok layout and screen, but inflexible in its route selection, and there never good ways and if you want to follow the short way from the start of one and finish following a different option, it'll have none of it. I know the direct line is shorter but your only choice is to go back a town along the highway, because the 20 minute more option is what you want🙄. Also the timing on turns is bad as it will tell you to turn right just as you approach an earlier street.",2,0,,2021-04-11 03:44:57,"Hey there, Chris! If you're having trouble with routing, we're happy to take a look at that. Would you mind submitting more information about the issue you're experiencing here: https://support.google.com/waze/answer/6270994?hl=en

For further assistance please contact us here: https://m.me/waze
",2021-04-20 18:47:19
gp:AOqpTOEoL15jxPqCrZpaTz3hl0LDh1nrwIS36uZRhYXL8ANipXFXH2fY2en106LZrWjgpwzSMSKXKillbVcz5w,Steve Cross Sr.,https://play-lh.googleusercontent.com/a-/AOh14GiwWMZtiia1FWU5-37d0qW7DWI20L1LFfSRR_aKiA,"I drive a lot for my Job ..Wake alerts me to accidents, standstill traffick, vehicles on shoulders and much more ..Its also fun to contribute and see how many people you have helped at end of week .. my Garman has not came out in a yr or Google maps ..Live waze maps r way to go!!!!",5,0,4.75.0.3,2021-07-07 22:15:21,,
gp:AOqpTOFfI41k0hVGL-jY2_c3VHmb5rEVSByIFi8_yba26pl7qWUJI1XFYGnYbEPLHjFJjhzQF6sR30EQFq-K0Q,Nikki Joyner,https://play-lh.googleusercontent.com/a/AATXAJzxTm0mcDgnYYjM1-u35Lyl5rTnCq9LxMtggUzg=mo,This has saved me since I have moved to California. Highly recommend.,5,0,4.74.0.3,2021-06-25 06:54:20,,
gp:AOqpTOEzqsGopoQ0an2q2wR82rtL1ZDK1lcFWfq_Y58sL8j0iGrJA0Y7RjujINvykhzYXaIUap_afTml1mZN_g,Muhammad Najmi Rameli,https://play-lh.googleusercontent.com/a-/AOh14GgLrJY2eOe71YgXX9XGLXwI2MUXfy2cW8-HjovyjA,"It showed me dirt road in my area, so frustrating.",1,0,4.73.0.3,2021-05-16 16:52:42,,
gp:AOqpTOFNFw01GCs5yM3Fhe6izCetkLGlvdNXYsC2STfDIpgNF4TYYTE0OgIx-TUho83cXN5vuI7RopEPpXYfnQ,dtfreshh,https://play-lh.googleusercontent.com/a-/AOh14GgSWKOmYAi86HvWJBnfRj9BqB3UD2jeUELDlaiB-g,Excellent driving assistant. Saved me thousands in tickets alone. Always Recommended to everyone i know,5,0,4.74.0.3,2021-05-31 22:58:50,,
gp:AOqpTOFdjS5lzyuszzYHzJh6t1ZFzRjHRnq41OgHU4h5TgoNP4Pi9vQDZfZWhjc99ftMOXvSugYuwnQatJPmJA,Jonathan Betts,https://play-lh.googleusercontent.com/a-/AOh14Ggnutd-AwC7-d_0ufqrFdjcjdoRTtnHCHYNY5wUyw,Runs smoothly and accurately,5,0,4.73.0.3,2021-05-17 15:24:47,,
gp:AOqpTOEd5ipB_IPawc-zF7Jb8VZJJmdiEiW8EC8QbDP_n44PEhj9LqSYSQvVFPAndm8mSFFG6ExKdjHNn9r2Eg,Craig Morado,https://play-lh.googleusercontent.com/a-/AOh14GiM2I-_B7vHfW9rtH4CoQn7yc-AsobsmslQXtqQ,Excellent accuracy. And the people (community) that help contribute to the app and make it so invaluable are awesome! I love the app and needless to say it's helped me more then once while driving. I highly recommend it to anyone going on a long trip. If I had to nit-pic it I'd say that you have to uninstall and reinstall it too much. But not a bad trade off for what you get.,4,1,,2021-05-28 23:55:31,,
gp:AOqpTOEmpN4nT9VL1XWsQj0YfceMW79v57lDIq0A0eIJisfKPm5KOm1QbN_RQpxT2EDvEOoiiotW_8fCDGO6qQ,Usman Muhammed,https://play-lh.googleusercontent.com/a-/AOh14GhitIoqNiGsW1AOsYONBdtN8MovHUYysBRt4HIBKg,Keeps telling me to verify and I click the link and it don't work,1,0,4.74.0.3,2021-06-01 16:21:05,,
gp:AOqpTOEmXxwPPVy66RQxHb01aN_0YAgK6xwEA5fbuXhrI1Yj7DuvLloZYdnwqtR1l1r0J6FBSEKNjGN6fQBk0Q,WAN NUR QALEESYA,https://play-lh.googleusercontent.com/a/AATXAJxofKjKIGAr556kPZTmf9ccQYsDEFfHKlwij6fl=mo,"Divert routes even have a minor trafic,waste a time.",1,0,4.73.0.3,2021-05-16 12:33:07,,
gp:AOqpTOERfhg-3YpZZsaICqc2m8fcaLBl3AA3E8fQ8IcavyNFD5rZYqXlFEjviDh0nBNi0jb_6lutb_EtL5x12g,Al G,https://play-lh.googleusercontent.com/a/AATXAJxSGRU8bQ-Mb2Pf9q03_aVkxbHJBZotP8zdMe9l=mo,"Before the latest update works fantastic. Now search bar/google and my waze bar takes almost half of my screen in horizontal mode ( which is how I exclusively use it ) with no way of hiding/removing them. In addition, can't figure out how to make where you're heading always on the top like before. Where in heading is always from side to side. Update: Removed & re-installed app fixed heading issue. But the 2 bars that block almost half the map in horizontal mode are still present.",4,1,4.64.0.1,2021-05-06 20:21:31,"Hey there, Al! We're always looking for ways to improve our product. If you'd like to suggest changes to Waze, we welcome you to submit your ideas to our suggestion box for further consideration: https://waze.uservoice.com/forums/59223-waze-suggestion-box

For further assistance please contact us here: https://m.me/waze
",2021-05-06 19:51:37
gp:AOqpTOG3uk1CnMXrLg_7_HAsoKwDasU3eTJkKPvzIa_kNNC8P00QhdH2m003qq3W3oKSEetfXffPGdfQmH_dUg,Nurul Najahah,https://play-lh.googleusercontent.com/a/AATXAJyKW38o_JM6CdkeS1sBatZTLdAcdPrvKiD3j74G=mo,"Slow loading, almost always",1,0,4.73.0.3,2021-05-18 15:26:52,,
